source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
router,packet_routed,2025-09-13 12:44:27.513244,1,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:44:28.906865,1,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:44:29.513726,2,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:44:30.379622,2,,,0,north,local,,,0.02,
router,packet_routed,2025-09-13 12:44:30.451601,1,,,0,east,local,,,0.02,
router,packet_routed,2025-09-13 12:44:30.959182,3,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:44:32.246853,4,,,0,local,north,,,0.02,
packet,packet_arrived,2025-09-13 12:44:33.613856,2,"(0, 0)","(1, 0)",2,,,2025-09-13 12:44:27,2025-09-13 12:44:33,0.02,34.17
router,packet_routed,2025-09-13 12:44:34.277245,5,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:44:35.420333,4,,,0,south,west,,,0.02,
router,packet_routed,2025-09-13 12:44:35.523892,3,,,0,north,east,,,0.02,
packet,packet_arrived,2025-09-13 12:44:35.650692,1,"(1, 1)","(0, 0)",3,,,2025-09-13 12:44:26,2025-09-13 12:44:35,0.02,52.85
router,packet_routed,2025-09-13 12:44:36.660861,5,,,0,north,local,,,0.02,
router,packet_routed,2025-09-13 12:44:36.864853,6,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:44:36.919878,4,,,0,east,local,,,0.02,
router,packet_routed,2025-09-13 12:44:37.920775,7,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:44:38.000572,3,,,0,west,local,,,0.02,
router,packet_routed,2025-09-13 12:44:39.136848,6,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:44:39.308700,8,,,0,local,south,,,0.02,
packet,packet_arrived,2025-09-13 12:44:39.454842,5,"(0, 0)","(1, 0)",2,,,2025-09-13 12:44:29,2025-09-13 12:44:39,0.02,34.17
router,packet_routed,2025-09-13 12:44:39.752362,7,,,0,south,west,,,0.02,
packet,packet_arrived,2025-09-13 12:44:40.119901,4,"(1, 1)","(0, 0)",3,,,2025-09-13 12:44:29,2025-09-13 12:44:40,0.02,52.85
router,packet_routed,2025-09-13 12:44:40.371405,9,,,0,local,south,,,0.02,
router,packet_routed,2025-09-13 12:44:41.112812,8,,,0,north,local,,,0.02,
router,packet_routed,2025-09-13 12:44:41.428730,6,,,0,west,local,,,0.02,
packet,packet_arrived,2025-09-13 12:44:41.940294,3,"(1, 1)","(2, 2)",3,,,2025-09-13 12:44:27,2025-09-13 12:44:41,0.02,56.37
router,packet_routed,2025-09-13 12:44:43.241025,7,,,0,east,local,,,0.02,
router,packet_routed,2025-09-13 12:44:43.274364,9,,,0,north,east,,,0.02,
router,packet_routed,2025-09-13 12:44:44.850679,10,,,0,local,north,,,0.02,
router,packet_routed,2025-09-13 12:44:45.679842,9,,,0,west,local,,,0.02,
